epoch,step,train_loss,val_f1,val_loss
0,58,,0.031917937099933624,0.022041048854589462
0,58,0.06991175562143326,,
1,117,,0.08202085644006729,0.011399930343031883
1,117,0.01619771681725979,,
2,176,,0.12779125571250916,0.010569367557764053
2,176,0.01193842850625515,,
3,235,,0.14769352972507477,0.009485505521297455
3,235,0.01067356951534748,,
4,294,,0.16511647403240204,0.008184758946299553
4,294,0.0097517604008317,,
5,353,,0.20525094866752625,0.007617213297635317
5,353,0.008585984818637371,,
6,412,,0.24052836000919342,0.0065345438197255135
6,412,0.0072662439197301865,,
7,471,,0.2911684215068817,0.005929448641836643
7,471,0.006495111156255007,,
8,530,,0.2797422409057617,0.005398561246693134
8,530,0.005436013452708721,,
9,589,,0.29858434200286865,0.004960439633578062
9,589,0.004774152766913176,,
10,648,,0.35149893164634705,0.004768853075802326
10,648,0.004385937005281448,,
11,707,,0.4514630138874054,0.003991904202848673
11,707,0.003908943850547075,,
12,766,,0.48577681183815,0.0045357076451182365
12,766,0.003577862400561571,,
13,825,,0.521721363067627,0.0040706610307097435
13,825,0.0034523785579949617,,
14,884,,0.6360425353050232,0.004237831570208073
14,884,0.002784033538773656,,
