consensus,mean,std,std_mean,std_std
1,0.8249750271439552,0.137881460861917,0.06963639112678806,0.03420294672517887
3,0.8620238054394721,0.13914452648343492,0.04800188550822632,0.030215761137635418
5,0.8688489192575217,0.14007955587450271,0.03861533315219214,0.027470586171245325
7,0.8736161908209322,0.14414577803622408,0.0310202807847036,0.025297945289350473
9,0.8736160379052162,0.14484047131345557,0.027226643983179075,0.02326273110767164
11,0.8754516433328391,0.1457184819291837,0.026526382948339686,0.023938907458095945
13,0.8766658961176873,0.14735942909459157,0.02435160932832346,0.022762454500428023
15,0.8788255626261235,0.1436212125897521,0.01921381837193245,0.017206216543360867
19,0.8780655774027111,0.14660288114036846,0.01879254870019801,0.017185265349935353
21,0.8769526658654212,0.14649378573944344,0.01709757203704097,0.01738542832323359
25,0.8780799313783645,0.14667722010901643,0.014432241331608545,0.014044946064303083
