seq_id,cons_k1_mean,cons_k1_std,cons_k3_mean,cons_k3_std,cons_k5_mean,cons_k5_std,cons_k7_mean,cons_k7_std,cons_k9_mean,cons_k9_std,cons_k11_mean,cons_k11_std,cons_k13_mean,cons_k13_std,cons_k15_mean,cons_k15_std,cons_k19_mean,cons_k19_std,cons_k21_mean,cons_k21_std,cons_k25_mean,cons_k25_std
5s_Acidithiobacillus-ferrooxidans-2,0.8945575654506683,0.07030323954687002,0.917710793018341,0.0518853436873401,0.952748566865921,0.03312222092081496,0.9589419007301331,0.02911093972765316,0.9680167466402054,0.024754728000802955,0.9517604678869247,0.03782845651452963,0.9692855894565582,0.018347623991849315,0.9623581200838089,0.025416798090293274,0.9713410437107086,0.016316087132002742,0.9784862577915192,0.013110191742037116,0.9741555601358414,0.01399762153101794
5s_Archaeoglobus-fulgidus-1,0.8519595742225647,0.04549280254977228,0.9040815949440002,0.028849270394915423,0.9353791743516922,0.02339915211896455,0.9330622881650925,0.019084470916441134,0.9350034058094024,0.020651336575991962,0.9366023182868958,0.01699255482259102,0.948217922449112,0.01605085645891931,0.9486428022384643,0.017611992191391805,0.9522231787443161,0.016913483917157742,0.945829164981842,0.010725395284857565,0.9539473801851273,0.01360680606003884
5s_Atractiella-solani-1,0.941267591714859,0.03371362085403596,0.9677471339702606,0.024621529175336464,0.9703540354967117,0.0187321346187957,0.9814672499895096,0.013221500019144568,0.9792609840631485,0.01036788928850779,0.9812967538833618,0.013396104340253498,0.9875380456447601,0.01234067313341648,0.9792047083377838,0.010326183547698004,0.9854832500219345,0.011180536219526045,0.9778538703918457,0.006897348435557744,0.9792427599430085,0.008281375101545873
5s_Coleochaete-scutata-1,0.858610987663269,0.054281767416320965,0.9017389953136444,0.03262948178069497,0.9210268080234527,0.027668367101102848,0.9196633398532867,0.02580059017831299,0.9280797600746155,0.01352631705428274,0.9311729580163955,0.01772919610981253,0.9361482292413712,0.010146262255018109,0.9361940175294876,0.01208367146644639,0.9353594332933426,0.006935064435193202,0.9347048819065094,0.010762973098768088,0.9382898360490799,0.007307194045478411
5s_Emplectonema-gracile-2,0.9555619806051254,0.04099899438780081,0.9726531267166137,0.026691153964379176,0.9868509918451309,0.013362980477379457,0.9828488916158676,0.012611069533695566,0.9827773749828339,0.014789154238324166,0.9794087886810303,0.01571096959879772,0.9842429250478745,0.01835611547603138,0.9923312276601791,0.009311776233391574,0.9869618356227875,0.014473394622311023,0.9896676272153855,0.013629161315714705,0.9930156230926513,0.00698549609378787
5s_Entosiphon-sulcatum-1,0.8924736201763153,0.06287151628193735,0.9645000487565994,0.032847100409598116,0.9640443503856659,0.02135301798103834,0.9721060216426849,0.02146725014298379,0.9838370978832245,0.01503484448681159,0.9798370957374573,0.015515908511590118,0.991206219792366,0.01223801238575588,0.9838164001703262,0.014264206047172443,0.9843946725130082,0.010692797380334056,0.9838000714778901,0.013759828172441105,0.9870973736047745,0.010878348311394621
5s_Gelidium-amansii-1,0.8907918959856034,0.03663353484375313,0.9371719747781754,0.03908750854896564,0.9586995393037796,0.027424578841695735,0.9721164256334305,0.01942446124463233,0.9788012951612473,0.014134883469138925,0.9867534339427948,0.01364809208132767,0.9867895841598511,0.01123880001559498,0.9915674686431885,0.01126162981163785,0.9943435490131378,0.013059694917644978,0.9950888872146606,0.008075803779038522,1.0,0.0
5s_Gloiopeltis-complanata-1,0.705629289150238,0.1092169502624972,0.7607247024774552,0.0811800808258127,0.7670735597610474,0.05700298520412725,0.791527733206749,0.04799890332063803,0.7878378719091416,0.038847803973152635,0.7718758910894394,0.027071345640397333,0.7919180423021317,0.048166342777744335,0.7891468971967697,0.048046247030344,0.7978498756885528,0.03184875523709807,0.781446436047554,0.03499014821801606,0.7985839545726776,0.027332466413661365
5s_Gluconacetobacter-xylinus-1,0.8852837026119232,0.04779290008157043,0.9472364842891693,0.029707467285531006,0.9650696188211441,0.01870448037928813,0.9781999230384827,0.012119693460866367,0.9750719785690307,0.013942382341058579,0.9736092448234558,0.010520126499314079,0.9758473873138428,0.010066478407113806,0.9744000762701035,0.008435609310568895,0.9736305296421051,0.006612466813291978,0.9758480548858642,0.007533474644417803,0.9735414087772369,0.006658713758705928
5s_Hyphomonas-polymorpha-1,0.8139066934585572,0.04976958426222436,0.8558574557304383,0.04099317115049473,0.8916225343942642,0.05590668971929134,0.882605054974556,0.029200940325483853,0.8891080021858215,0.038038158671518156,0.8790796905755996,0.03383311586695995,0.8853046834468842,0.030741313256887358,0.8804211318492889,0.02866774389145592,0.8788303971290589,0.024384397733878373,0.87386095225811,0.02483702800751241,0.8776192009449005,0.020793003212779923
