consensus,mean,std,std_mean,std_std
1,0.1388351594241192,0.09267243385263448,0.09398073039001234,0.03130271561898475
3,0.19266796306921885,0.1612105287702922,0.11555230507651132,0.05115700889075361
5,0.19616156681798966,0.1881586169989528,0.12154600056580879,0.05244874762178239
7,0.1838704878464341,0.1990390796595061,0.11146146052916296,0.0700102890094343
9,0.17622769351762071,0.20175366028130076,0.09675600550456027,0.06060815757129764
11,0.17675660868676807,0.20880845675156762,0.0912390077215307,0.06965286594339111
13,0.17557849783736923,0.21471811524953408,0.08845132490053408,0.06062231518380868
15,0.17774618477202375,0.2200214578635944,0.0843895395373216,0.06948073768753595
19,0.17636093000093328,0.22811488482003217,0.07677324986670232,0.07681133753899437
21,0.17208047297138432,0.2250044670175241,0.07274264587452256,0.07913484602821874
25,0.1717535282843388,0.23444141149735434,0.06564055012068118,0.07020245763269987
