consensus,mean,std,std_mean,std_std
1,0.8254024203270673,0.13387201698302123,0.08066648414200922,0.04913943032232133
3,0.8694909011907876,0.13331455259689812,0.05625927236802389,0.03931712161296879
5,0.8829157115519048,0.12979318443255652,0.03935034007926369,0.031379286067558236
7,0.8879850340485572,0.13230675248617793,0.0350568080436664,0.034765950561642195
9,0.8906355982422829,0.1318497614322514,0.03062089313752487,0.026673377586615556
11,0.891282799243927,0.1343232295706586,0.02700426453611279,0.02765495673031696
13,0.8944416902065278,0.13184392985644483,0.02585729128757233,0.02502200732915302
15,0.8940930193960668,0.13638573051316696,0.021545328185535048,0.023367053721238065
19,0.8982146687209606,0.13172252251709338,0.01951488383894862,0.022062486395912764
21,0.8967691510021686,0.13442350258597754,0.018344743282525174,0.019748700301809113
25,0.8972216982841492,0.13442160715118726,0.016692821835499746,0.022142481276974678
