consensus,mean,std,std_mean,std_std
1,0.45871811744828633,0.20619917146754355,0.16774287887189843,0.03919392039190447
3,0.5107316247689037,0.2420931172237674,0.12838625851004745,0.03875310450664528
5,0.525279325999033,0.2668058364411328,0.09640078871218885,0.034996937552506144
7,0.5155774414396056,0.2760289606495616,0.09846952578493344,0.04634357026019748
9,0.5180858519859611,0.2849403568085774,0.0895264245830616,0.03657898054628595
11,0.5184435721916648,0.2866856826708172,0.08199778002292744,0.043740041185952726
13,0.5142469206180137,0.29152706645922416,0.067707767927508,0.03669315186756418
15,0.519989308843819,0.2894917182829561,0.06763200008663098,0.03487523675815969
19,0.513306497503072,0.2970817289670857,0.05818753530483171,0.0330670632378465
21,0.5130576876421961,0.29008432078140056,0.05437937861010704,0.031637731557780685
25,0.5138798128097103,0.29935284048891664,0.04852116226967818,0.02854832900851889
