consensus,mean,std,std_mean,std_std
1,0.5336311405452971,0.20884056726857425,0.13003661903999716,0.03818915011117534
3,0.5938440569031698,0.24855054361911472,0.11610614646187728,0.048271174270456164
5,0.6156246091812277,0.26745875613926157,0.09159795608723506,0.041819536857849664
7,0.6143067173659802,0.2747715147699501,0.0780273840971488,0.03758990002893155
9,0.6220892866142094,0.2802733773351981,0.07066441530463691,0.03744065264329628
11,0.6198204981091504,0.28332343360432594,0.06009542466329417,0.031109060596599694
13,0.6193570755278834,0.28366008612179267,0.054630331769259535,0.03523377030031702
15,0.620017376785668,0.28659730358562874,0.05270710004482862,0.029345327471565572
19,0.6217787934753757,0.287509450132437,0.044226825793353026,0.02484257653525546
21,0.6221188287537258,0.2896578618585395,0.04441884986066285,0.03066473447282568
25,0.6220673137272781,0.28924089115014623,0.040335589841673174,0.024126906299382793
