consensus,mean,std,std_mean,std_std
1,0.8197033130079506,0.144774185168393,0.08518872244621462,0.04407895038946505
3,0.8676283297650517,0.1388060245972565,0.051836293444085746,0.03554045402159098
5,0.8773424483090639,0.1408746457321686,0.039508405369281595,0.030167480365483664
7,0.8810280982255935,0.14541296824970362,0.03309238510170251,0.028931923004274315
9,0.8818567323684693,0.1439964230673116,0.027611031096938646,0.02571081119529526
11,0.8837844208478927,0.14322688275456935,0.025495172587457832,0.02810033792991338
13,0.8838195967972277,0.14529112593922952,0.023603551943783704,0.026736799361304592
15,0.8871316262930633,0.14089478084919863,0.020534168757249192,0.024584410112205583
19,0.8865227144956589,0.14517998985710073,0.018382248265876974,0.02258324056100357
21,0.8860804681628943,0.14629355694657792,0.016804663644395434,0.023346057262601954
25,0.8885532972067596,0.14431461298966278,0.013225059459996427,0.017535388278247816
