consensus,mean,std,std_mean,std_std
1,0.12242775763152162,0.04322992775568192,0.09480447401612072,0.025926092798045235
3,0.1407758516957983,0.05198965431528345,0.1333549006585635,0.013653099616282546
5,0.1286982795456424,0.08941715989023599,0.11025480048147089,0.04285088616608762
7,0.09135326221585269,0.06661113390423147,0.09017036208717708,0.044796071269121426
9,0.08588297881651666,0.07232545698504529,0.08478785854188214,0.041975902843996805
11,0.07397175396326926,0.0552457317337534,0.08092154161735332,0.03618083294360269
13,0.06425601374357937,0.0647483957930695,0.06439451511396613,0.05027219548670367
15,0.060679500061087285,0.0587251754618462,0.07125789270608865,0.040744701422542495
19,0.05435478754807262,0.06821389542532029,0.05525769355869434,0.0495366011933246
21,0.03680027071386571,0.03849721968520201,0.04582314744645645,0.03621073629364909
25,0.03280576581601051,0.037426257620451424,0.04214607784727552,0.035426134636424966
