epoch,step,train_loss,val_f1,val_loss
0,12,0.19748272001743317,0.01765463873744011,0.047054778784513474
1,25,0.04307255893945694,0.01247771829366684,0.04246000945568085
2,38,0.039269644767045975,0.007352941203862429,0.038261428475379944
3,51,0.033291831612586975,0.05396825447678566,0.03117343597114086
4,64,0.02579374611377716,0.05554089695215225,0.021170971915125847
5,77,0.01882493868470192,0.07350967079401016,0.020047588273882866
6,90,0.015965905040502548,0.09507094323635101,0.01523237582296133
7,103,0.014451204799115658,0.10959059000015259,0.013058100827038288
8,116,0.01334110926836729,0.10101626068353653,0.012857446447014809
9,129,0.013737638480961323,0.11660153418779373,0.012285713106393814
10,142,0.013286781497299671,0.1158633753657341,0.013123207725584507
11,155,0.01331615075469017,0.12145474553108215,0.012527291662991047
12,168,0.01218454074114561,0.06671293079853058,0.011844562366604805
13,181,0.012299597263336182,0.13049864768981934,0.011168718338012695
14,194,0.011736534535884857,0.11750645935535431,0.011675622314214706
