epoch,step,train_loss,val_f1,val_loss
0,12,,0.02176516130566597,0.05562363192439079
0,12,0.24925236403942108,,
1,25,,0.01769176311790943,0.05271239951252937
1,25,0.052615005522966385,,
2,38,,0.010868975892663002,0.04590882360935211
2,38,0.04797226935625076,,
3,51,,0.018771929666399956,0.04057164490222931
3,51,0.041182275861501694,,
4,64,,0.06325911730527878,0.02777153067290783
4,64,0.034278374165296555,,
5,77,,0.0679226964712143,0.021387562155723572
5,77,0.023791145533323288,,
6,90,,0.07308921217918396,0.018536482006311417
6,90,0.01988214999437332,,
7,103,,0.11028138548135757,0.018333936110138893
7,103,0.01779778115451336,,
8,116,,0.0366586297750473,0.01523056160658598
8,116,0.017176061868667603,,
9,129,,0.03719008341431618,0.014706886373460293
9,129,0.01700345240533352,,
10,142,,0.15394830703735352,0.0158236101269722
10,142,0.01610657200217247,,
11,155,,0.15412357449531555,0.015340292826294899
11,155,0.01552036963403225,,
12,168,,0.09746347367763519,0.01343933492898941
12,168,0.01459934189915657,,
13,181,,0.12452921271324158,0.01847350411117077
13,181,0.01394481398165226,,
14,194,,0.10581304877996445,0.016377439722418785
14,194,0.019759660586714745,,
