run_name,status,timesteps,batch_size,grad_accum_steps,use_amp,oom_events,trace_path,trace_size_mb,train_batch_ms,train_forward_ms,train_backward_ms,train_step_ms,eval_no_f1_ms,eval_with_f1_ms,max_alloc_gb_trace,max_reserved_gb_trace,cpu_op_ms_trace,gpu_total_ms_trace,train_forward_alloc_delta_avg_mb_gpu,train_forward_alloc_delta_peak_mb_gpu,train_backward_alloc_delta_avg_mb_gpu,train_backward_alloc_delta_peak_mb_gpu,train_step_alloc_delta_avg_mb_gpu,train_step_alloc_delta_peak_mb_gpu,train_forward_alloc_delta_avg_mb_cpu,train_forward_alloc_delta_peak_mb_cpu,train_backward_alloc_delta_avg_mb_cpu,train_backward_alloc_delta_peak_mb_cpu,train_step_alloc_delta_avg_mb_cpu,train_step_alloc_delta_peak_mb_cpu,train_forward_alloc_traffic_mb_gpu,train_forward_free_traffic_mb_gpu,train_backward_alloc_traffic_mb_gpu,train_backward_free_traffic_mb_gpu,train_step_alloc_traffic_mb_gpu,train_step_free_traffic_mb_gpu,train_forward_alloc_traffic_mb_cpu,train_forward_free_traffic_mb_cpu,train_backward_alloc_traffic_mb_cpu,train_backward_free_traffic_mb_cpu,train_step_alloc_traffic_mb_cpu,train_step_free_traffic_mb_cpu
batch_ga_sweep_sim90_bs4_ga1_pb4_60ts_fp32,ok,60,4,1,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs4_ga1_pb4_60ts_fp32/profiler_traces/pc59_4122452.1772585233693512702.pt.trace.json,688.2152605056763,1300.1046666666668,549.4906666666666,741.7766666666666,8.221666666666666,513.059,888.01575,20.921778202056885,22.287109375,20149.035,7111.913,9731.046782915259,19617.20703125,0.03638424810560084,69.08138020833333,5.472477610518292,10.929361979166666,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,6.67572021484375e-06,1.1444091796875e-05,62097.271809895836,42619.148111979164,76806.42252604167,96273.76790364583,10.929361979166666,10.929361979166666,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.00093841552734375,0.00093841552734375
batch_ga_sweep_sim90_bs4_ga2_pb4_60ts_fp32,ok,60,4,2,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs4_ga2_pb4_60ts_fp32/profiler_traces/pc59_4122452.1772585564437427023.pt.trace.json,687.919810295105,1356.0566666666668,585.2183333333334,761.4196666666667,12.8475,524.0595,895.74575,22.328186988830566,23.162109375,20949.161,7099.627,9211.268498049996,18575.779459635418,0.03603300901832799,72.70638020833333,11.972184344035824,21.34375,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,0.00014696121215820312,0.0001678466796875,54773.36474609375,36336.082194010414,81425.38655598958,99859.01318359375,21.34375,10.9560546875,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.001094818115234375,0.00093841552734375
batch_ga_sweep_sim90_bs4_ga8_pb4_60ts_fp32,oom,60,4,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batch_ga_sweep_sim90_bs1_ga16_pb4_60ts_amp,ok,60,1,16,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs1_ga16_pb4_60ts_amp/profiler_traces/pc59_4122452.1772588531171082354.pt.trace.json,814.8017911911011,1538.619,682.3856666666667,855.454,18.589,597.29125,972.453,4.883164882659912,20.115234375,27841.612,3207.761,1998.077951333368,4120.051595052083,0.020224510219306425,120.37662760416667,18.460052849264706,32.30029296875,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,0.0002872467041015625,0.000324249267578125,28741.163411458332,24756.1982421875,43575.858235677086,47560.823404947914,32.302734375,10.775390625,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.001251220703125,0.00093841552734375
batch_ga_sweep_sim90_bs1_ga1_pb4_60ts_amp,ok,60,1,1,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs1_ga1_pb4_60ts_amp/profiler_traces/pc59_4122452.1772584421565223395.pt.trace.json,812.8787107467651,1418.2706666666668,603.612,808.0186666666666,5.393333333333333,559.59875,913.682,2.240065574645996,11.138671875,25440.588,2943.769,966.7642601259914,2060.5538736979165,0.034213957214193846,130.35921223958334,6.069411892361111,10.800618489583334,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,0.0002872467041015625,0.000324249267578125,31429.504069010418,29502.325358072918,42782.96337890625,44699.108072916664,10.802083333333334,3.783203125,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.001251220703125,0.00093841552734375
batch_ga_sweep_sim90_bs1_ga2_pb4_60ts_amp,ok,60,1,2,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs1_ga2_pb4_60ts_amp/profiler_traces/pc59_4122452.1772584742747996115.pt.trace.json,812.6704540252686,1410.637,607.4923333333334,801.522,0.626,544.006,915.5665,4.8366007804870605,11.20703125,25469.916,3048.29,1440.4934222143604,3006.8585611979165,0.02250467978138022,123.58463541666667,0.0008951822916666666,0.001953125,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,,,25915.439453125,23040.387532552082,35424.86279296875,38296.290201822914,0.0029296875,0.0029296875,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,,
batch_ga_sweep_sim90_bs1_ga4_pb4_60ts_amp,ok,60,1,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs1_ga4_pb4_60ts_amp/profiler_traces/pc59_4122452.1772587847686171354.pt.trace.json,814.3571510314941,1494.5276666666668,658.3473333333334,830.4686666666666,14.279,608.916,933.74075,5.233730316162109,20.111328125,27148.644,3186.16,2039.5581423869214,4186.656412760417,0.015688703871323612,119.46875,18.256077665441175,32.42919921875,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,0.0002872467041015625,0.000324249267578125,36520.484537760414,32468.671712239582,33613.1455078125,37664.958333333336,32.431640625,11.25,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.001251220703125,0.00093841552734375
batch_ga_sweep_sim90_bs1_ga8_pb4_60ts_amp,ok,60,1,8,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs1_ga8_pb4_60ts_amp/profiler_traces/pc59_4122452.1772588193501771356.pt.trace.json,814.2045488357544,1544.1393333333333,704.2866666666666,839.0853333333333,17.393,629.54425,972.0205,4.883164882659912,20.111328125,28179.457,3161.406,1490.752286542486,3104.3038736979165,0.02172385947804106,124.658203125,19.17487362132353,33.03076171875,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,0.0002872467041015625,0.000324249267578125,31290.764322916668,28319.912434895832,35532.653971354164,38503.505859375,33.033203125,10.390625,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.001251220703125,0.00093841552734375
batch_ga_sweep_sim90_bs4_ga1_pb4_60ts_amp,ok,60,4,1,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs4_ga1_pb4_60ts_amp/profiler_traces/pc59_4122452.1772585399681885112.pt.trace.json,816.5308933258057,1598.546,719.043,873.8536666666666,4.767333333333333,550.16525,970.938,16.519341468811035,22.287109375,27849.074,6309.632,6460.014166508315,13066.323079427084,0.016426915932688205,109.49934895833333,6.276841426674836,10.85009765625,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,0.0002872467041015625,0.000324249267578125,50896.87158203125,37975.487955729164,59478.02685546875,72388.13899739583,10.8515625,3.4654947916666665,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,0.001251220703125,0.00093841552734375
batch_ga_sweep_sim90_bs4_ga2_pb4_60ts_amp,ok,60,4,2,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light_batch/batch_ga_sweep_sim90_bs4_ga2_pb4_60ts_amp/profiler_traces/pc59_4122452.1772585730772248477.pt.trace.json,812.1390714645386,1486.8426666666667,625.623,859.0456666666666,1.298,571.6785,1005.64425,18.851412773132324,23.09765625,27140.356,6450.898,7249.343248225145,14648.19287109375,0.018442097404518545,134.98030598958334,0.0008951822916666666,0.001953125,2.5445420104224442e-06,5.086263020833333e-06,0.0,0.0,,,54884.511393229164,40383.336100260414,69141.04524739583,83638.43863932292,0.0029296875,0.0029296875,0.0068817138671875,0.00687408447265625,0.00091552734375,0.00092315673828125,,
