run_name,status,timesteps,batch_size,use_amp,train_batch_count,eval_batch_count,train_batch_ms,train_forward_ms,train_backward_ms,eval_no_f1_ms,eval_with_f1_ms,eval_sample_ms,cpu_op_ms_trace,gpu_total_ms_trace,train_forward_cpu_ms_keyavg,train_forward_cuda_ms_keyavg,train_backward_cpu_ms_keyavg,train_backward_cuda_ms_keyavg,max_alloc_gb_trace,max_reserved_gb_trace,train_forward_alloc_avg_mb_gpu,train_forward_alloc_peak_mb_gpu,train_backward_alloc_avg_mb_gpu,train_backward_alloc_peak_mb_gpu,train_step_alloc_avg_mb_gpu,train_step_alloc_peak_mb_gpu,train_forward_alloc_avg_mb_cpu,train_forward_alloc_peak_mb_cpu,train_backward_alloc_avg_mb_cpu,train_backward_alloc_peak_mb_cpu,train_step_alloc_avg_mb_cpu,train_step_alloc_peak_mb_cpu,oom_events,trace_size_mb,trace_path
sim90_bs4_pb4_50ts_fp32,ok,50,4,False,3.0,8.0,1126.232,498.77933333333334,617.8893333333334,387.792,733.35675,342.5975,15804.057,6262.268,1496.336,711.519,1853.665,0.003,18.908836364746094,23.12890625,9007.769420546369,18011.724934895832,9066.927390335544,17984.33642578125,90.31610454776423,95.71988932291667,0.035327911376953125,0.03533172607421875,0.035327911376953125,0.03533172607421875,0.035330772399902344,0.035335540771484375,0.0,571.7798147201538,logs/diffusion_profiler_light/sim90_bs4_pb4_50ts_fp32/profiler_traces/pc59_3193258.1772559924986045302.pt.trace.json
sim90_bs4_pb4_50ts_amp,ok,50,4,True,3.0,8.0,1132.9793333333332,484.20366666666666,644.3113333333333,386.63275,742.30225,322.44975,19383.881,5797.0,1452.609,755.986,1932.933,0.006,17.072994709014893,23.12890625,7984.989152343547,15996.587727864584,8003.302734534329,16004.381673177084,70.06558797998366,74.59602864583333,0.035327911376953125,0.03533172607421875,0.035327911376953125,0.03533172607421875,0.03561134338378906,0.035648345947265625,0.0,681.6021385192871,logs/diffusion_profiler_light/sim90_bs4_pb4_50ts_amp/profiler_traces/pc59_3193258.1772560058799096076.pt.trace.json
sim90_bs4_pb4_52ts_fp32,ok,52,4,False,3.0,8.0,1051.2206666666668,480.79633333333334,563.0113333333334,413.59725,772.26525,364.33425,15850.695,6487.369,1442.389,755.855,1689.034,0.003,18.209216117858887,23.12890625,9300.157293000484,18597.70849609375,9360.33550402583,18646.2373046875,89.74258050685977,94.9599609375,0.035640716552734375,0.03564453125,0.035640716552734375,0.03564453125,0.035643577575683594,0.035648345947265625,0.0,593.9915590286255,logs/diffusion_profiler_light/sim90_bs4_pb4_52ts_fp32/profiler_traces/pc59_3193258.1772560198922912583.pt.trace.json
sim90_bs4_pb4_52ts_amp,ok,52,4,True,3.0,8.0,1198.991,527.8763333333334,664.9043333333334,451.85575,835.519,352.802,20683.86,6187.586,1583.627,812.211,1994.711,0.006,17.846845626831055,18.662109375,8645.706981015119,17389.82958984375,8664.84275847759,17397.73193359375,70.29117966196895,74.86295572916667,0.035640716552734375,0.03564453125,0.035640716552734375,0.03564453125,0.03592414855957031,0.035961151123046875,0.0,705.6232118606567,logs/diffusion_profiler_light/sim90_bs4_pb4_52ts_amp/profiler_traces/pc59_3193258.1772560346997832083.pt.trace.json
sim90_bs4_pb4_54ts_fp32,ok,54,4,False,3.0,8.0,1114.1146666666668,503.1023333333333,602.361,451.98625,902.08375,415.81175,17503.582,6814.356,1509.307,792.104,1807.082,0.003,20.503857135772705,21.5625,9949.41516383171,19839.326009114582,10010.561535514273,19851.126627604168,89.7208738249492,94.87141927083333,0.035953521728515625,0.03595733642578125,0.035953521728515625,0.03595733642578125,0.035956382751464844,0.035961151123046875,0.0,617.0810527801514,logs/diffusion_profiler_light/sim90_bs4_pb4_54ts_fp32/profiler_traces/pc59_3193258.1772560497539194624.pt.trace.json
sim90_bs4_pb4_54ts_amp,ok,54,4,True,3.0,8.0,1229.64,548.371,674.655,486.98625,874.84875,370.5465,21580.551,6049.071,1645.113,623.008,2023.963,0.006,17.195950508117676,21.587890625,7843.692907375759,15839.527018229166,7860.550725191099,15812.512532552084,69.1190691380719,73.7763671875,0.035953521728515625,0.03595733642578125,0.035953521728515625,0.03595733642578125,0.03623695373535156,0.036273956298828125,0.0,732.2541770935059,logs/diffusion_profiler_light/sim90_bs4_pb4_54ts_amp/profiler_traces/pc59_3193258.1772560650795378314.pt.trace.json
sim90_bs4_pb4_56ts_fp32,ok,56,4,False,3.0,8.0,1182.0946666666669,569.6856666666666,602.4173333333333,472.518,933.96975,425.8025,18273.519,6863.803,1709.057,738.544,1807.249,0.003,21.24388027191162,22.33984375,9311.57269248543,18611.548828125,9367.66294029799,18587.918782552082,89.90756002286587,95.10139973958333,0.036266326904296875,0.0362701416015625,0.036266326904296875,0.0362701416015625,0.036269187927246094,0.036273956298828125,0.0,640.9592514038086,logs/diffusion_profiler_light/sim90_bs4_pb4_56ts_fp32/profiler_traces/pc59_3193258.1772560800473150106.pt.trace.json
sim90_bs4_pb4_56ts_amp,ok,56,4,True,3.0,8.0,1320.215,592.1796666666667,720.837,504.994,888.53525,382.734,22643.245,6658.441,1776.538,869.823,2162.51,0.006,19.188340663909912,22.33984375,9323.439541351625,18706.882486979168,9342.400608462252,18714.9755859375,70.31765551598244,74.94466145833333,0.036266326904296875,0.0362701416015625,0.036266326904296875,0.0362701416015625,0.03654975891113281,0.036586761474609375,0.0,759.4725294113159,logs/diffusion_profiler_light/sim90_bs4_pb4_56ts_amp/profiler_traces/pc59_3193258.1772560960118236501.pt.trace.json
sim90_bs4_pb4_58ts_fp32,ok,58,4,False,3.0,8.0,1286.4236666666668,579.3623333333334,697.5313333333334,514.43775,907.2735,425.388,19401.019,7362.06,1738.087,841.563,2092.592,0.003,20.25852394104004,22.33984375,10346.64731133923,20696.19970703125,10407.253542033444,20744.728515625,89.91537252286587,95.06591796875,0.036579132080078125,0.03658294677734375,0.036579132080078125,0.03658294677734375,0.036581993103027344,0.036586761474609375,0.0,662.5017013549805,logs/diffusion_profiler_light/sim90_bs4_pb4_58ts_fp32/profiler_traces/pc59_3193258.1772561122365379248.pt.trace.json
sim90_bs4_pb4_58ts_amp,ok,58,4,True,3.0,8.0,1418.131,636.647,771.7073333333334,524.5575,919.0145,394.771,24363.51,7399.745,1909.939,1229.264,2315.12,0.006,19.870347023010254,22.33984375,10219.328426632914,20327.36962890625,10239.182404657462,20335.669270833332,79.56270733094966,86.08138020833333,0.03668340047200521,0.036687215169270836,0.03668340047200521,0.036687215169270836,0.03687868118286133,0.036899566650390625,0.0,787.3619108200073,logs/diffusion_profiler_light/sim90_bs4_pb4_58ts_amp/profiler_traces/pc59_3193258.1772561293583432181.pt.trace.json
