epoch,step,train_loss,val_f1,val_loss
0,58,,0.023544080555438995,0.04259983450174332
0,58,0.15336266160011292,,
1,117,,0.1182466521859169,0.01980646140873432
1,117,0.02823236957192421,,
2,176,,0.12118329852819443,0.01649722270667553
2,176,0.019583633169531822,,
3,235,,0.1734282374382019,0.014339204877614975
3,235,0.0172225721180439,,
4,294,,0.14437830448150635,0.012399130500853062
4,294,0.014867313206195831,,
5,353,,0.20118747651576996,0.010877354070544243
5,353,0.012583945877850056,,
6,412,,0.22214987874031067,0.009423461742699146
6,412,0.010573964565992355,,
7,471,,0.2728812098503113,0.00875081680715084
7,471,0.008980068378150463,,
8,530,,0.2912263572216034,0.007948813028633595
8,530,0.008203763514757156,,
9,589,,0.31554797291755676,0.008307192474603653
9,589,0.007092078682035208,,
10,648,,0.32278087735176086,0.007180844899266958
10,648,0.006499454844743013,,
11,707,,0.45225027203559875,0.0063915858045220375
11,707,0.00585106061771512,,
12,766,,0.5006439089775085,0.006228146143257618
12,766,0.005487945396453142,,
13,825,,0.5493848323822021,0.006114943418651819
13,825,0.005066281650215387,,
14,884,,0.5888316631317139,0.00643161591142416
14,884,0.004279578570276499,,
