consensus,mean,std,std_mean,std_std
1,0.27157090679527474,0.13857128128931573,0.13007239374821877,0.05357224552896886
3,0.318116363367209,0.17676568285488845,0.1564183335066371,0.07104346066438677
5,0.3122207655643041,0.21405959860467555,0.12739245036215768,0.04886841145508798
7,0.30642913760474094,0.22108185272021866,0.11870232061078517,0.04097014299269545
9,0.300876643265096,0.2325555002715865,0.10300737123511346,0.03787245784454117
11,0.31039585724759555,0.22394948658104702,0.11473917206986377,0.056778418132934556
13,0.28908501555426763,0.24029966451980414,0.09476815138818649,0.03922657598056961
15,0.29335616561942374,0.23063269568336148,0.09220561893162671,0.04561508103167615
19,0.2920681415125728,0.2579173308037443,0.06824395167874808,0.0439469117310278
21,0.2924476038234738,0.25967963806488253,0.07267527673990168,0.04710860329071049
25,0.283004876312155,0.256319793770582,0.054944043618011626,0.035593167343296844
