consensus,mean,std,std_mean,std_std
1,0.5334608404073291,0.18961144497791654,0.12591160555962777,0.025190473399016783
3,0.6240848801671885,0.22418510280036502,0.10580414009611547,0.03488923915548449
5,0.6526130622539383,0.2397276009874898,0.08476766796101182,0.03628928945712935
7,0.6512914999603079,0.2522771945525408,0.07631329284927554,0.03424380361733753
9,0.6551122825449476,0.2525745048693228,0.06601779812970965,0.03862112606984087
11,0.6577046448078292,0.2548972626293876,0.06395317753432792,0.03507810297353071
13,0.6558959067584229,0.26327972711641184,0.056243134854552096,0.02784308034817744
15,0.6586952467234088,0.2618717811801665,0.050024679329447985,0.03544276850345394
19,0.6568343336765582,0.271740017645774,0.04328040773919734,0.025842049635957164
21,0.6546499616466461,0.2723480471699404,0.0388790139851664,0.025306590123430426
25,0.6566226508969871,0.2724316468760004,0.03779480884476901,0.029578012473347976
