consensus,mean,std,std_mean,std_std
1,0.26038484451575916,0.13603051723785659,0.13937451388545988,0.04327038123905347
3,0.31555416071071074,0.19030199599476724,0.14391952817304393,0.060408482922587485
5,0.3189088468654797,0.22954479640011613,0.11395683996534155,0.043093135559562165
7,0.31592068998859474,0.20955961810589405,0.11239832934386314,0.04528555356248683
9,0.31878636161295265,0.2223398207332059,0.10930665301704473,0.045361159025352406
11,0.30584797946592934,0.2229840076844777,0.08916152227582409,0.05522789445642289
13,0.3121734987514523,0.23423321260799415,0.08535527073519517,0.04489854580611207
15,0.3136928836743419,0.2330277974986493,0.0815745103593701,0.04566860520201555
19,0.30180695280432696,0.2502701698644663,0.05981481465067329,0.044101920277286696
21,0.3034745268810254,0.24020701474134895,0.05993600099360009,0.038710758244513414
25,0.30407594327743237,0.2530218595683384,0.048808135904368305,0.03517373456764149
