epoch,epoch_time,train_loss,val_loss,val_f1
1,2.0295949510000355,0.14979985900796378,0.05004969239234924,0.0
2,2.6898454510010197,0.0459814492899638,0.0481184683740139,0.004901960784313725
3,1.557158524999977,0.04395185625897004,0.04400236904621124,0.010498561840843721
4,1.564864200001466,0.03854500416379709,0.034965094178915024,0.028354978354978355
5,1.5785346240008948,0.03300431499687525,0.031931281089782715,0.03901996370235935
6,1.5583542360000138,0.02613591030240059,0.022374199703335762,0.03470642338990887
7,1.6240243789980013,0.019824180752038956,0.017888067290186882,0.10190713101160861
8,1.691392602999258,0.016884625172958925,0.017256254330277443,0.11519670839858073
9,1.7215434520003328,0.02048104851005169,0.020696207880973816,0.06564263349024572
10,1.9272364299977198,0.018518290625741847,0.015561816282570362,0.07180650037792895
11,1.9776297319986043,0.016124701772171717,0.014491915702819824,0.0745897034629429
12,1.8031666329989093,0.014604363303918105,0.014162368141114712,0.11220040019139589
13,1.831681034000212,0.013938490587931413,0.012859485112130642,0.08545279856755265
14,1.896950720998575,0.013086860999464989,0.01354875136166811,0.1818469323213156
15,1.9404875899999752,0.012938016309187962,0.012778087519109249,0.20877276884223953
