consensus,mean,std,std_mean,std_std
1,0.8095621537268162,0.13598961632114606,0.0819559895232836,0.03552010267562691
3,0.8571853233873844,0.135155649437345,0.05507523877846852,0.030519972448442543
5,0.8696736984550952,0.13495721516950493,0.03929507363415898,0.024344781249528363
7,0.8769027585983277,0.13474984686936667,0.031673188444920564,0.021604525542029282
9,0.8793750018179418,0.13446390310150652,0.02766443735392328,0.02022947049741537
11,0.8811929765045643,0.1332093270443267,0.027451865872133045,0.020838511302306673
13,0.8831134723126888,0.13475312680815243,0.023928211082651127,0.019053118210546553
15,0.8839877822995186,0.13530041288349906,0.021097917825765245,0.01822764281578044
19,0.8874753946065901,0.13316788434925617,0.016966096232530578,0.016581342596791455
21,0.8869940510690213,0.13475752101973618,0.01550631484788649,0.016521862739758992
25,0.887087241768837,0.13472328349711338,0.014021733989958863,0.016413413386737744
