consensus,mean,std,std_mean,std_std
1,0.5417014076589391,0.2053349696738577,0.1243553506768516,0.033505166241043875
3,0.6343254815500518,0.22411584501956322,0.10713869736545031,0.03561443891314209
5,0.6483780567820829,0.22917773825634133,0.09696646975656828,0.037603982959065016
7,0.6570055015528431,0.24439002105425436,0.08143503552652862,0.0353814513356448
9,0.6584513798427698,0.25064954780879606,0.0662310212613094,0.033383541034558165
11,0.6527514436282217,0.2587366949838507,0.06857512900328883,0.03349117539678854
13,0.6569571560965135,0.2620820826549811,0.059842720371232776,0.03228443345017012
15,0.6587110456222525,0.2578903289700224,0.058050898068224915,0.03243973818073279
19,0.6565721464271728,0.26472234938529354,0.05111625186755582,0.025248174488218898
21,0.659910259123605,0.26051166104440726,0.045136179822216155,0.029366139918608036
25,0.6560919662650961,0.26416636031143537,0.03988894188835143,0.024595937449033312
