epoch,step,train_loss,val_f1,val_loss
0,29,,0.020757803693413734,0.11820150911808014
0,29,0.5384476780891418,,
1,59,,0.039078451693058014,0.07376059889793396
1,59,0.10044357180595398,,
2,89,,0.09049985557794571,0.039118215441703796
2,89,0.05147344246506691,,
3,119,,0.07180923223495483,0.03366254270076752
3,119,0.03606116399168968,,
4,149,,0.14056962728500366,0.031053034588694572
4,149,0.03208119794726372,,
5,179,,0.13038815557956696,0.03184475749731064
5,179,0.029287222772836685,,
6,209,,0.11757113039493561,0.02712540701031685
6,209,0.027920223772525787,,
7,239,,0.17734374105930328,0.026404371485114098
7,239,0.02705422043800354,,
8,269,,0.18942195177078247,0.024531668052077293
8,269,0.024531839415431023,,
9,299,,0.172895610332489,0.023350883275270462
9,299,0.022515295073390007,,
10,329,,0.23166769742965698,0.020809590816497803
10,329,0.020135916769504547,,
11,359,,0.3016038239002228,0.018132882192730904
11,359,0.01799597777426243,,
12,389,,0.30917274951934814,0.01868499256670475
12,389,0.017689939588308334,,
13,419,,0.3867310881614685,0.017447153106331825
13,419,0.015564542263746262,,
14,449,,0.3434675931930542,0.016387399286031723
14,449,0.013995667919516563,,
